Year,Title,Domestic,International,Worldwide,ImdbID,URL
1980,9 to 5,"$103,290,500",$0,"$103,290,500",tt0080319,https://www.boxofficemojo.com/release/rl876643841/?ref_=bo_yld_table_2
1980,Stir Crazy,"$101,300,000",$0,"$101,300,000",tt0081562,https://www.boxofficemojo.com/release/rl3312682497/?ref_=bo_yld_table_3
1980,Any Which Way You Can,"$70,687,344",$0,"$70,687,344",tt0080377,https://www.boxofficemojo.com/release/rl1916962305/?ref_=bo_yld_table_5
1980,Private Benjamin,"$69,847,348",$0,"$69,847,348",tt0081375,https://www.boxofficemojo.com/release/rl3513484801/?ref_=bo_yld_table_6
1980,Coal Miner's Daughter,"$67,182,787",$0,"$67,182,787",tt0080549,https://www.boxofficemojo.com/release/rl1883932161/?ref_=bo_yld_table_7
1980,Smokey and the Bandit II,"$66,132,626",$0,"$66,132,626",tt0081529,https://www.boxofficemojo.com/release/rl460359169/?ref_=bo_yld_table_8
1980,The Blues Brothers,"$57,229,890","$30,169","$57,260,059",tt0080455,https://www.boxofficemojo.com/release/rl289834497/?ref_=bo_yld_table_9
1980,Ordinary People,"$54,766,923",$0,"$54,766,923",tt0081283,https://www.boxofficemojo.com/release/rl3378939393/?ref_=bo_yld_table_10
1980,Popeye,"$49,823,037","$1,968","$49,825,005",tt0081353,https://www.boxofficemojo.com/release/rl2003535361/?ref_=bo_yld_table_11
1980,The Shining,"$44,017,374","$68,820","$44,086,194",tt0081505,https://www.boxofficemojo.com/release/rl3312354817/?ref_=bo_yld_table_12
1980,Cheech and Chong's Next Movie,"$41,675,194",$0,"$41,675,194",tt0080520,https://www.boxofficemojo.com/release/rl2018215425/?ref_=bo_yld_table_13
1980,Caddyshack,"$39,846,344",$0,"$39,846,344",tt0080487,https://www.boxofficemojo.com/release/rl3326707201/?ref_=bo_yld_table_14
1980,Friday the 13th,"$39,754,601","$6,437","$39,761,038",tt0080761,https://www.boxofficemojo.com/release/rl3344074241/?ref_=bo_yld_table_15
1980,Brubaker,"$37,121,708",$0,"$37,121,708",tt0080474,https://www.boxofficemojo.com/release/rl3125380609/?ref_=bo_yld_table_16
1980,The Jazz Singer,"$27,118,000",$0,"$27,118,000",tt0080948,https://www.boxofficemojo.com/release/rl3411707393/?ref_=bo_yld_table_17
1980,Flash Gordon,"$27,107,960","$1,397","$27,109,357",tt0080745,https://www.boxofficemojo.com/release/rl3461580289/?ref_=bo_yld_table_18
1980,Bronco Billy,"$24,265,659",$0,"$24,265,659",tt0080472,https://www.boxofficemojo.com/release/rl1497990657/?ref_=bo_yld_table_19
1980,Raging Bull,"$23,334,953","$1,734","$23,336,687",tt0081398,https://www.boxofficemojo.com/release/rl4201285121/?ref_=bo_yld_table_20
1980,Xanadu,"$22,762,571",$678,"$22,763,249",tt0081777,https://www.boxofficemojo.com/release/rl1501201921/?ref_=bo_yld_table_21
1980,American Gigolo,"$22,743,674",$0,"$22,743,674",tt0080365,https://www.boxofficemojo.com/release/rl3091432961/?ref_=bo_yld_table_22
1980,My Bodyguard,"$22,482,952",$0,"$22,482,952",tt0081207,https://www.boxofficemojo.com/release/rl392463873/?ref_=bo_yld_table_23
1980,Fame,"$21,202,829",$703,"$21,203,532",tt0080716,https://www.boxofficemojo.com/release/rl4283467265/?ref_=bo_yld_table_24
1980,Altered States,"$19,853,892",$6,"$19,853,898",tt0080360,https://www.boxofficemojo.com/release/rl1749255681/?ref_=bo_yld_table_25
1980,Honeysuckle Rose,"$17,815,212",$0,"$17,815,212",tt0080888,https://www.boxofficemojo.com/release/rl1029211649/?ref_=bo_yld_table_26
1980,Hero at Large,"$15,934,737",$0,"$15,934,737",tt0080863,https://www.boxofficemojo.com/release/rl1952024065/?ref_=bo_yld_table_27
1980,The Long Riders,"$15,795,189",$0,"$15,795,189",tt0081071,https://www.boxofficemojo.com/release/rl1398900225/?ref_=bo_yld_table_28
1980,The Island,"$15,716,828",$0,"$15,716,828",tt0080934,https://www.boxofficemojo.com/release/rl1297778177/?ref_=bo_yld_table_29
1980,First Family,"$15,198,912",$0,"$15,198,912",tt0080739,https://www.boxofficemojo.com/release/rl4216555009/?ref_=bo_yld_table_35
1980,The Nude Bomb,"$14,662,035",$0,"$14,662,035",tt0081249,https://www.boxofficemojo.com/release/rl3395782145/?ref_=bo_yld_table_30
1980,"Oh, God! Book II","$14,504,277",$0,"$14,504,277",tt0081268,https://www.boxofficemojo.com/release/rl1885767169/?ref_=bo_yld_table_31
1980,The Competition,"$14,287,755",$0,"$14,287,755",tt0080556,https://www.boxofficemojo.com/release/rl2370471425/?ref_=bo_yld_table_32
1980,Wholly Moses!,"$14,155,617",$0,"$14,155,617",tt0081751,https://www.boxofficemojo.com/release/rl2105247233/?ref_=bo_yld_table_33
1980,The Last Married Couple in America,"$12,835,544",$0,"$12,835,544",tt0081032,https://www.boxofficemojo.com/release/rl3076490753/?ref_=bo_yld_table_34
1980,The Fiendish Plot of Dr. Fu Manchu,"$10,697,276",$0,"$10,697,276",tt0080731,https://www.boxofficemojo.com/release/rl1565754881/?ref_=bo_yld_table_36
1980,Stardust Memories,"$10,389,003",$0,"$10,389,003",tt0081554,https://www.boxofficemojo.com/release/rl1316193793/?ref_=bo_yld_table_37
1980,Somewhere in Time,"$9,709,597",$0,"$9,709,597",tt0081534,https://www.boxofficemojo.com/release/rl3195045377/?ref_=bo_yld_table_38
1980,The Formula,"$8,894,289",$0,"$8,894,289",tt0080754,https://www.boxofficemojo.com/release/rl1163036161/?ref_=bo_yld_table_39
1980,Battle Creek Brawl,"$8,527,743",$0,"$8,527,743",tt0080436,https://www.boxofficemojo.com/release/rl591889921/?ref_=bo_yld_table_40
1980,The Awakening,"$8,415,112",$0,"$8,415,112",tt0080402,https://www.boxofficemojo.com/release/rl608536065/?ref_=bo_yld_table_41
1980,Foxes,"$7,470,348",$0,"$7,470,348",tt0080756,https://www.boxofficemojo.com/release/rl2421327361/?ref_=bo_yld_table_42
1980,Where the Buffalo Roam,"$6,659,377",$0,"$6,659,377",tt0081748,https://www.boxofficemojo.com/release/rl3262678529/?ref_=bo_yld_table_43
1980,The Gong Show Movie,"$6,621,520",$0,"$6,621,520",tt0080808,https://www.boxofficemojo.com/release/rl2220131841/?ref_=bo_yld_table_44
1980,Motel Hell,"$6,342,668",$0,"$6,342,668",tt0081184,https://www.boxofficemojo.com/release/rl3177547265/?ref_=bo_yld_table_45
1980,Little Miss Marker,"$6,321,392",$0,"$6,321,392",tt0081063,https://www.boxofficemojo.com/release/rl4133389825/?ref_=bo_yld_table_46
1980,Oh Heavenly Dog,"$6,216,067",$0,"$6,216,067",tt0081269,https://www.boxofficemojo.com/release/rl1919321601/?ref_=bo_yld_table_47
1980,Divine Madness,"$5,318,098",$0,"$5,318,098",tt0080634,https://www.boxofficemojo.com/release/rl3863971329/?ref_=bo_yld_table_48
1980,In God We Trust (or Gimme That Prime Time Religion),"$5,215,015",$0,"$5,215,015",tt0080917,https://www.boxofficemojo.com/release/rl3159655937/?ref_=bo_yld_table_49
1980,He Knows You're Alone,"$4,875,436",$0,"$4,875,436",tt0080850,https://www.boxofficemojo.com/release/rl3344336385/?ref_=bo_yld_table_50
1980,Roadie,"$4,226,370",$0,"$4,226,370",tt0081433,https://www.boxofficemojo.com/release/rl1768719873/?ref_=bo_yld_table_51
1980,Gloria,"$4,059,673","$2,268","$4,061,941",tt0080798,https://www.boxofficemojo.com/release/rl1716815361/?ref_=bo_yld_table_52
1980,Jaws 2,"$4,028,735",$0,"$4,028,735",tt0077766,https://www.boxofficemojo.com/release/rl3579479553/?ref_=bo_yld_table_53
1980,Resurrection,"$3,910,019",$0,"$3,910,019",tt0081414,https://www.boxofficemojo.com/release/rl4251813377/?ref_=bo_yld_table_54
1980,Hide in Plain Sight,"$3,806,930",$0,"$3,806,930",tt0080868,https://www.boxofficemojo.com/release/rl1515816449/?ref_=bo_yld_table_55
1980,Guyana: Cult of the Damned,"$3,798,102",$0,"$3,798,102",tt0080833,https://www.boxofficemojo.com/release/rl3780609537/?ref_=bo_yld_table_56
1980,When Time Ran Out...,"$3,763,988",$0,"$3,763,988",tt0081747,https://www.boxofficemojo.com/release/rl3380119041/?ref_=bo_yld_table_57
1980,North Sea Hijack,"$2,993,772",$0,"$2,993,772",tt0081809,https://www.boxofficemojo.com/release/rl1683195393/?ref_=bo_yld_table_58
1980,Loving Couples,"$2,806,659",$0,"$2,806,659",tt0081080,https://www.boxofficemojo.com/release/rl3949037057/?ref_=bo_yld_table_59
1980,The Idolmaker,"$2,625,716",$0,"$2,625,716",tt0080913,https://www.boxofficemojo.com/release/rl576423425/?ref_=bo_yld_table_60
1980,Gilda Live,"$2,261,507",$0,"$2,261,507",tt0080790,https://www.boxofficemojo.com/release/rl844400129/?ref_=bo_yld_table_61
1980,Windows,"$2,128,395",$0,"$2,128,395",tt0081759,https://www.boxofficemojo.com/release/rl2809890305/?ref_=bo_yld_table_62
1980,Just Tell Me What You Want,"$2,086,905",$0,"$2,086,905",tt0080975,https://www.boxofficemojo.com/release/rl4032660993/?ref_=bo_yld_table_63
1980,Why Would I Lie?,"$1,175,855",$0,"$1,175,855",tt0081753,https://www.boxofficemojo.com/release/rl1702594049/?ref_=bo_yld_table_64
1980,Heart Beat,"$954,046",$0,"$954,046",tt0080854,https://www.boxofficemojo.com/release/rl4233528833/?ref_=bo_yld_table_65
1980,One-Trick Pony,"$843,215",$0,"$843,215",tt0081280,https://www.boxofficemojo.com/release/rl2556855809/?ref_=bo_yld_table_66
1980,"Those Lips, Those Eyes","$804,713",$0,"$804,713",tt0081625,https://www.boxofficemojo.com/release/rl1131709953/?ref_=bo_yld_table_67
1980,A Small Circle of Friends,"$766,760",$0,"$766,760",tt0081528,https://www.boxofficemojo.com/release/rl879789569/?ref_=bo_yld_table_68
1981,Raiders of the Lost Ark,"$212,222,025","$8,305,823","$220,527,848",tt0082971,https://www.boxofficemojo.com/release/rl4083844609/?ref_=bo_yld_table_14
1981,On Golden Pond,"$119,285,432",$0,"$119,285,432",tt0082846,https://www.boxofficemojo.com/release/rl2320795137/?ref_=bo_yld_table_53
1981,Superman II,"$108,185,706","$14,294","$108,200,000",tt0081573,https://www.boxofficemojo.com/release/rl4084368897/?ref_=bo_yld_table_1
1981,Arthur,"$95,461,682",$0,"$95,461,682",tt0082031,https://www.boxofficemojo.com/release/rl2621605377/?ref_=bo_yld_table_37
1981,Stripes,"$85,297,000",$0,"$85,297,000",tt0083131,https://www.boxofficemojo.com/release/rl1685227009/?ref_=bo_yld_table_2
1981,The Cannonball Run,"$72,179,579",$0,"$72,179,579",tt0082136,https://www.boxofficemojo.com/release/rl4752897/?ref_=bo_yld_table_3
1981,Chariots of Fire,"$58,972,904",$0,"$58,972,904",tt0082158,https://www.boxofficemojo.com/release/rl508265985/?ref_=bo_yld_table_56
1981,For Your Eyes Only,"$54,812,802",$146,"$54,812,948",tt0082398,https://www.boxofficemojo.com/release/rl4135224833/?ref_=bo_yld_table_4
1981,The Four Seasons,"$50,427,646",$0,"$50,427,646",tt0082405,https://www.boxofficemojo.com/release/rl2572322305/?ref_=bo_yld_table_5
1981,Time Bandits,"$42,365,581",$0,"$42,365,581",tt0081633,https://www.boxofficemojo.com/release/rl4185163265/?ref_=bo_yld_table_26
1981,Absence of Malice,"$40,716,963",$0,"$40,716,963",tt0081974,https://www.boxofficemojo.com/release/rl356550145/?ref_=bo_yld_table_34
1981,Reds,"$40,382,659",$129,"$40,382,788",tt0082979,https://www.boxofficemojo.com/release/rl1399686657/?ref_=bo_yld_table_35
1981,Taps,"$35,856,053",$0,"$35,856,053",tt0083169,https://www.boxofficemojo.com/release/rl2910160385/?ref_=bo_yld_table_38
1981,Sharky's Machine,"$35,610,100",$0,"$35,610,100",tt0083064,https://www.boxofficemojo.com/release/rl3983443457/?ref_=bo_yld_table_33
1981,Excalibur,"$34,967,437",$968,"$34,968,405",tt0082348,https://www.boxofficemojo.com/release/rl1783662081/?ref_=bo_yld_table_6
1981,Endless Love,"$31,184,024","$1,308,650","$32,492,674",tt0082329,https://www.boxofficemojo.com/release/rl2219935233/?ref_=bo_yld_table_10
1981,History of the World: Part I,"$31,672,907",$0,"$31,672,907",tt0082517,https://www.boxofficemojo.com/release/rl2572781057/?ref_=bo_yld_table_7
1981,Bustin' Loose,"$31,261,269",$0,"$31,261,269",tt0082121,https://www.boxofficemojo.com/release/rl3846800897/?ref_=bo_yld_table_8
1981,The Great Muppet Caper,"$31,206,251",$0,"$31,206,251",tt0082474,https://www.boxofficemojo.com/release/rl3412428289/?ref_=bo_yld_table_9
1981,An American Werewolf in London,"$30,565,292","$147,328","$30,712,620",tt0082010,https://www.boxofficemojo.com/release/rl2336458241/?ref_=bo_yld_table_11
1981,Neighbors,"$29,916,207",$0,"$29,916,207",tt0082801,https://www.boxofficemojo.com/release/rl4033119745/?ref_=bo_yld_table_27
1981,Cinderella,"$28,040,000",$0,"$28,040,000",tt0042332,https://www.boxofficemojo.com/release/rl4199253505/?ref_=bo_yld_table_50
1981,Modern Problems,"$26,154,211",$0,"$26,154,211",tt0082763,https://www.boxofficemojo.com/release/rl1046840833/?ref_=bo_yld_table_30
1981,Halloween II,"$25,533,818",$0,"$25,533,818",tt0082495,https://www.boxofficemojo.com/release/rl3310847489/?ref_=bo_yld_table_12
1981,Body Heat,"$24,058,838",$0,"$24,058,838",tt0082089,https://www.boxofficemojo.com/release/rl1749452289/?ref_=bo_yld_table_13
1981,Ghost Story,"$23,371,905",$0,"$23,371,905",tt0082449,https://www.boxofficemojo.com/release/rl3461711361/?ref_=bo_yld_table_39
1981,Friday the 13th: Part 2,"$21,722,776",$199,"$21,722,975",tt0082418,https://www.boxofficemojo.com/release/rl3478291969/?ref_=bo_yld_table_15
1981,The Final Conflict,"$20,471,382",$0,"$20,471,382",tt0082377,https://www.boxofficemojo.com/release/rl1600554497/?ref_=bo_yld_table_16
1981,The Incredible Shrinking Woman,"$20,259,961",$0,"$20,259,961",tt0082558,https://www.boxofficemojo.com/release/rl2589689345/?ref_=bo_yld_table_17
1981,Under the Rainbow,"$18,826,490",$0,"$18,826,490",tt0083254,https://www.boxofficemojo.com/release/rl2759230977/?ref_=bo_yld_table_18
1981,Outland,"$17,374,595",$0,"$17,374,595",tt0082869,https://www.boxofficemojo.com/release/rl57247233/?ref_=bo_yld_table_19
1981,Continental Divide,"$15,578,237",$0,"$15,578,237",tt0082200,https://www.boxofficemojo.com/release/rl3611985409/?ref_=bo_yld_table_20
